HOMO_tot_Al,HOMO_tot_Ga,HOMO_tot_In,HOMO_tot_O,HOMO_avg_Al,HOMO_avg_Ga,HOMO_avg_In,HOMO_avg_O
-53.94,-32.784000000000006,-0.0,-131.52,-0.67425,-0.4098000000000001,-0.0,-1.6440000000000001
-53.94,-32.784000000000006,-0.0,-131.52,-0.67425,-0.4098000000000001,-0.0,-1.6440000000000001
-35.061,-8.196000000000002,-0.0,-65.76,-0.876525,-0.20490000000000005,-0.0,-1.6440000000000001
-24.273,-0.0,-8.352,-49.32000000000001,-0.8091000000000002,-0.0,-0.2784,-1.6440000000000001
-0.0,-54.64,-33.408,-131.52,-0.0,-0.683,-0.4176,-1.6440000000000001
-24.273,-19.124000000000002,-0.0,-65.76,-0.6068250000000001,-0.4781000000000001,-0.0,-1.6440000000000001
-2.6926848,-8.2003712,-77.952,-131.52,-0.03365856,-0.10250464000000001,-0.9744,-1.6440000000000001
-10.788,-0.0,-11.136,-32.88,-0.5394,-0.0,-0.5568,-1.6440000000000001
-45.8446848,-19.1283712,-22.272,-131.52,-0.57305856,-0.23910464,-0.2784,-1.6440000000000001
-35.0566848,-51.9123712,-0.0,-131.52,-0.43820856,-0.64890464,-0.0,-1.6440000000000001
-37.755842400000006,-27.3221856,-0.0,-98.64000000000001,-0.6292640400000001,-0.4553697600000001,-0.0,-1.6440000000000001
-51.2473152,-35.511628800000004,-0.0,-131.52,-0.64059144,-0.44389536000000007,-0.0,-1.6440000000000001
-35.061,-8.196000000000002,-0.0,-65.76,-0.876525,-0.20490000000000005,-0.0,-1.6440000000000001
-10.788,-76.49600000000001,-0.0,-131.52,-0.13485,-0.9562000000000002,-0.0,-1.6440000000000001
-32.364000000000004,-10.928,-44.544,-131.52,-0.4045500000000001,-0.13660000000000003,-0.5568,-1.6440000000000001
-37.758,-16.392000000000003,-33.408,-131.52,-0.47197500000000003,-0.20490000000000005,-0.4176,-1.6440000000000001
-78.2086848,-5.464,-2.7795455999999996,-131.52,-0.9776085600000001,-0.06830000000000001,-0.034744319999999995,-1.6440000000000001
-0.0,-35.511628800000004,-52.900454399999994,-131.52,-0.0,-0.44389536000000007,-0.66125568,-1.6440000000000001
-13.4860788,-10.9269072,-8.352,-49.32000000000001,-0.44953596000000007,-0.36423024000000004,-0.2784,-1.6440000000000001
