IP_tot_Al,IP_tot_Ga,IP_tot_In,IP_tot_O,IP_avg_Al,IP_avg_Ga,IP_avg_In,IP_avg_O
-115.60000000000001,-69.8184,-0.0,-274.169600016,-1.445,-0.8727300000000001,-0.0,-3.4271200002
-115.60000000000001,-69.8184,-0.0,-274.169600016,-1.445,-0.8727300000000001,-0.0,-3.4271200002
-75.14,-17.4546,-0.0,-137.084800008,-1.8785,-0.43636500000000006,-0.0,-3.4271200002
-52.02,-0.0,-16.6122,-102.813600006,-1.7340000000000004,-0.0,-0.55374,-3.4271200002
-0.0,-116.364,-66.4488,-274.169600016,-0.0,-1.45455,-0.8306100000000001,-3.4271200002
-52.02,-40.7274,-0.0,-137.084800008,-1.3005,-1.0181850000000001,-0.0,-3.4271200002
-5.770752,-17.46390912,-155.0472,-274.169600016,-0.0721344,-0.21829886399999998,-1.93809,-3.4271200002
-23.12,-0.0,-22.1496,-68.542400004,-1.1560000000000001,-0.0,-1.10748,-3.4271200002
-98.250752,-40.73670912,-44.2992,-274.169600016,-1.2281344,-0.509208864,-0.55374,-3.4271200002
-75.130752,-110.55510912,-0.0,-274.169600016,-0.9391344000000001,-1.381938864,-0.0,-3.4271200002
-80.91537600000001,-58.18665456,-0.0,-205.627200012,-1.3485896000000002,-0.9697775760000001,-0.0,-3.4271200002
-109.829248,-75.62729088,-0.0,-274.169600016,-1.3728656000000001,-0.9453411360000001,-0.0,-3.4271200002
-75.14,-17.4546,-0.0,-137.084800008,-1.8785,-0.43636500000000006,-0.0,-3.4271200002
-23.12,-162.9096,-0.0,-274.169600016,-0.28900000000000003,-2.0363700000000002,-0.0,-3.4271200002
-69.36,-23.2728,-88.5984,-274.169600016,-0.8670000000000002,-0.29091,-1.10748,-3.4271200002
-80.92,-34.9092,-66.4488,-274.169600016,-1.0115,-0.43636500000000006,-0.8306100000000001,-3.4271200002
-167.61075200000002,-11.6364,-5.5285401599999995,-274.169600016,-2.0951344,-0.145455,-0.069106752,-3.4271200002
-0.0,-75.62729088,-105.21945984,-274.169600016,-0.0,-0.9453411360000001,-1.315243248,-3.4271200002
-28.902312000000002,-23.27047272,-16.6122,-102.813600006,-0.9634104000000002,-0.775682424,-0.55374,-3.4271200002
-11.56,-11.6364,-22.1496,-68.542400004,-0.5780000000000001,-0.58182,-1.10748,-3.4271200002
-0.0,-69.8184,-110.74799999999999,-274.169600016,-0.0,-0.8727300000000001,-1.38435,-3.4271200002
-40.457688000000005,-29.09332728,-0.0,-102.813600006,-1.3485896000000002,-0.9697775760000001,-0.0,-3.4271200002
-46.242312,-0.0,-22.14738504,-102.813600006,-1.5414104,-0.0,-0.738246168,-3.4271200002
-28.890752000000003,-104.7276,-49.82774016,-274.169600016,-0.3611344000000001,-1.3090950000000001,-0.6228467520000001,-3.4271200002
-52.02,-11.63872728,-5.53518504,-102.813600006,-1.7340000000000004,-0.387957576,-0.184506168,-3.4271200002
-80.92,-0.0,-11.0748,-137.084800008,-2.023,-0.0,-0.27687,-3.4271200002
-40.46,-23.2728,-27.686999999999998,-137.084800008,-1.0115,-0.58182,-0.692175,-3.4271200002
-80.92,-11.6364,-0.0,-137.084800008,-2.023,-0.29091,-0.0,-3.4271200002
-17.349248,-93.0912,-71.97734016,-274.169600016,-0.2168656,-1.16364,-0.899716752,-3.4271200002
-150.28,-5.80889088,-27.67814016,-274.169600016,-1.8785,-0.07261113599999999,-0.34597675200000005,-3.4271200002
-63.589248000000005,-58.182,-60.92025984,-274.169600016,-0.7948656000000001,-0.727275,-0.761503248,-3.4271200002
-0.0,-23.2728,-66.4488,-137.084800008,-0.0,-0.58182,-1.6612200000000001,-3.4271200002
-52.02,-0.0,-38.7618,-137.084800008,-1.3005,-0.0,-0.969045,-3.4271200002
-109.829248,-40.73670912,-33.2244,-274.169600016,-1.3728656000000001,-0.509208864,-0.41530500000000004,-3.4271200002
-0.0,-104.7276,-77.5236,-274.169600016,-0.0,-1.3090950000000001,-0.969045,-3.4271200002
-63.589248000000005,-75.62729088,-44.2992,-274.169600016,-0.7948656000000001,-0.9453411360000001,-0.55374,-3.4271200002
-46.24,-0.0,-44.2992,-137.084800008,-1.1560000000000001,-0.0,-1.10748,-3.4271200002
-57.800000000000004,-11.6364,-110.74799999999999,-274.169600016,-0.7225,-0.145455,-1.38435,-3.4271200002
-23.12,-40.7274,-27.686999999999998,-137.084800008,-0.5780000000000001,-1.0181850000000001,-0.692175,-3.4271200002
-17.349248,-87.28230912,-77.5236,-274.169600016,-0.2168656,-1.091028864,-0.969045,-3.4271200002
-52.010752000000004,-64.00950912,-66.4488,-274.169600016,-0.6501344000000001,-0.800118864,-0.8306100000000001,-3.4271200002
-150.28,-5.80889088,-27.67814016,-274.169600016,-1.8785,-0.07261113599999999,-0.34597675200000005,-3.4271200002
-115.60000000000001,-5.80889088,-60.92025984,-274.169600016,-1.445,-0.07261113599999999,-0.761503248,-3.4271200002
-179.18924800000002,-5.80889088,-0.0,-274.169600016,-2.2398656000000003,-0.07261113599999999,-0.0,-3.4271200002
-75.130752,-64.00950912,-44.2992,-274.169600016,-0.9391344000000001,-0.800118864,-0.55374,-3.4271200002
-92.48,-93.0912,-0.0,-274.169600016,-1.1560000000000001,-1.16364,-0.0,-3.4271200002
-127.16000000000001,-40.73670912,-16.621059839999997,-274.169600016,-1.5895000000000001,-0.509208864,-0.20776324799999998,-3.4271200002
-115.60000000000001,-29.08169088,-38.77065984,-274.169600016,-1.445,-0.363521136,-0.484633248,-3.4271200002
-5.78,-58.182,-27.686999999999998,-137.084800008,-0.14450000000000002,-1.45455,-0.692175,-3.4271200002
-156.06924800000002,-23.2728,-5.5285401599999995,-274.169600016,-1.9508656000000004,-0.29091,-0.069106752,-3.4271200002
-28.902312000000002,-23.27047272,-16.6122,-102.813600006,-0.9634104000000002,-0.775682424,-0.55374,-3.4271200002
-92.48,-93.0912,-0.0,-274.169600016,-1.1560000000000001,-1.16364,-0.0,-3.4271200002
-11.56,-17.46390912,-149.51865984,-274.169600016,-0.14450000000000002,-0.21829886399999998,-1.8689832480000002,-3.4271200002
-75.130752,-23.2728,-83.06985983999999,-274.169600016,-0.9391344000000001,-0.29091,-1.038373248,-3.4271200002
-40.46,-52.3638,-0.0,-137.084800008,-1.0115,-1.3090950000000001,-0.0,-3.4271200002
-34.68,-34.9092,-0.0,-102.813600006,-1.1560000000000001,-1.16364,-0.0,-3.4271200002
-40.46,-0.0,-49.8366,-137.084800008,-1.0115,-0.0,-1.245915,-3.4271200002
-23.12,-151.2732,-11.0748,-274.169600016,-0.28900000000000003,-1.8909150000000001,-0.138435,-3.4271200002
-34.68,-34.9092,-0.0,-102.813600006,-1.1560000000000001,-1.16364,-0.0,-3.4271200002
-121.37075200000001,-64.00950912,-0.0,-274.169600016,-1.5171344,-0.800118864,-0.0,-3.4271200002
-17.349248,-128.0004,-38.77065984,-274.169600016,-0.2168656,-1.6000050000000001,-0.484633248,-3.4271200002
-121.37075200000001,-29.08169088,-33.2244,-274.169600016,-1.5171344,-0.363521136,-0.41530500000000004,-3.4271200002
-11.56,-29.091,-49.8366,-137.084800008,-0.28900000000000003,-0.727275,-1.245915,-3.4271200002
-57.800000000000004,-23.2728,-11.0748,-137.084800008,-1.445,-0.58182,-0.27687,-3.4271200002
-34.68,-151.2732,-0.0,-274.169600016,-0.4335000000000001,-1.8909150000000001,-0.0,-3.4271200002
-40.469248,-98.90009088000001,-44.2992,-274.169600016,-0.5058656,-1.236251136,-0.55374,-3.4271200002
-80.92,-23.2728,-77.5236,-274.169600016,-1.0115,-0.29091,-0.969045,-3.4271200002
-57.800000000000004,-52.35449088,-71.97734016,-274.169600016,-0.7225,-0.654431136,-0.899716752,-3.4271200002
-80.92,-104.7276,-0.0,-274.169600016,-1.0115,-1.3090950000000001,-0.0,-3.4271200002
-63.580000000000005,-17.4546,-11.0748,-137.084800008,-1.5895000000000001,-0.43636500000000006,-0.27687,-3.4271200002
-46.24,-34.9092,-11.0748,-137.084800008,-1.1560000000000001,-0.8727300000000001,-0.27687,-3.4271200002
-115.60000000000001,-52.35449088,-16.621059839999997,-274.169600016,-1.445,-0.654431136,-0.20776324799999998,-3.4271200002
-23.12,-40.73670912,-116.27654016,-274.169600016,-0.28900000000000003,-0.509208864,-1.453456752,-3.4271200002
