rank_test_score,mean_test_score,std_test_score,criterion,learning_rate,loss,max_depth,min_samples_leaf,min_samples_split,n_estimators
1,0.966509757452543,0.0011511838460270232,friedman_mse,0.01,ls,3,3,4,1000
2,0.9662634238166284,0.0009603852519493384,mse,0.2,lad,3,1,4,2000
3,0.9659367187045375,0.0017087851013642098,mse,0.01,huber,5,5,4,1000
4,0.9656964741077416,0.002994178723903592,mse,0.05,lad,3,3,4,500
5,0.9653871107300953,0.0020672003272780674,mse,0.01,ls,5,5,4,1000
6,0.964849589764464,0.002239685761500338,mse,0.15,huber,5,3,2,100
7,0.964746457772746,0.0023016030732391146,mse,0.01,lad,10,3,3,500
8,0.9647210120903043,0.001648931404687991,mse,0.2,lad,10,5,3,500
9,0.9647170036804782,0.003165756338335177,mse,0.05,lad,5,3,4,1000
10,0.9647117279347753,0.0015958991612034436,mse,0.1,lad,10,5,3,2000
11,0.9644325261453794,0.0010895855012238132,mse,0.3,lad,20,5,4,500
12,0.9643923573502021,0.0022243156806320253,friedman_mse,0.2,huber,3,3,2,100
13,0.9640961478460869,0.0013379682011368473,mse,0.15,lad,20,5,3,2000
14,0.9640262367103973,0.0014649290284701045,friedman_mse,0.1,lad,20,3,2,500
15,0.963710522467142,0.002116463319552319,mse,0.2,lad,10,5,2,500
16,0.9636094658667829,0.0028846405981147434,friedman_mse,0.15,huber,3,5,3,500
17,0.9635906167710887,0.0029094225607220405,mse,0.15,huber,3,5,3,500
18,0.9635356472676293,0.0019346796774628583,mse,0.2,lad,10,3,2,2000
19,0.963533188683269,0.0032523226973146667,mse,0.05,huber,3,3,2,1000
20,0.9634050324750922,0.0036312930043270785,mse,0.1,lad,5,3,4,1000
21,0.9631670093114,0.0029427997308284952,friedman_mse,0.1,lad,10,3,2,2000
22,0.9629981568806162,0.0013073313169892633,mse,0.1,huber,20,5,3,1000
23,0.9628675261305534,0.0026171099663774627,friedman_mse,0.1,lad,20,1,3,100
24,0.962837343674457,0.0034198002292862603,mse,0.1,ls,5,5,4,500
25,0.962835437412491,0.0038541556996878733,mse,0.15,huber,3,3,3,500
26,0.9627575303364297,0.002080122804140775,friedman_mse,0.01,ls,10,1,3,500
27,0.9627565016273869,0.0014720910802735888,mse,0.2,huber,20,5,2,1000
28,0.9626062630162658,0.0021083151426895094,mse,0.15,lad,20,1,3,500
29,0.9624963725459054,0.0011949907240387991,mse,0.01,ls,10,3,2,2000
30,0.9624292866885499,0.003005105932666423,mse,0.1,huber,5,3,3,1000
31,0.9621956408801527,0.001746970157120596,friedman_mse,0.1,huber,20,3,2,1000
32,0.9620686046692435,0.0016936489690728897,friedman_mse,0.1,ls,20,5,2,100
33,0.9620548802942189,0.003874355777412877,mse,0.15,huber,5,5,2,500
34,0.9618661669984389,0.0019757327814191737,mse,0.15,ls,10,5,4,500
35,0.9618376498921587,0.003588763210263003,friedman_mse,0.1,ls,5,3,3,500
36,0.9614945578118015,0.0016162715825243856,friedman_mse,0.3,ls,20,5,4,2000
37,0.9614769303791348,0.0027189375080406146,mse,0.15,huber,20,3,4,500
38,0.9611470184794467,0.0032375729457572015,friedman_mse,0.3,huber,5,5,4,1000
39,0.9601556512641266,0.0041173376680044005,friedman_mse,0.05,huber,5,1,3,2000
40,0.9600522273544162,0.0038635892205650326,mse,0.3,huber,3,1,3,500
41,0.9595361263250028,0.0027342807726951452,friedman_mse,0.2,huber,20,1,4,2000
42,0.9593943438783363,0.004193847504511504,friedman_mse,0.3,huber,3,5,3,2000
43,0.9593114070072035,0.0025564492205176186,mse,0.1,huber,20,1,4,1000
44,0.9591453654598763,0.005141244876299451,friedman_mse,0.1,huber,3,1,3,1000
45,0.9590293246384711,0.00451637275229466,friedman_mse,0.3,ls,5,1,2,100
46,0.9587691656510285,0.0049936862529493704,mse,0.2,ls,5,1,2,1000
47,0.9559963067188687,0.00606395334981378,friedman_mse,0.15,ls,3,1,4,1000
48,0.9537793481211183,0.001090785810174544,mse,0.01,huber,5,1,3,100
49,0.9536103352392562,0.009000517707751557,friedman_mse,0.3,huber,3,3,2,2000
50,0.9533566807919612,0.009267223546942665,friedman_mse,0.3,ls,3,1,3,500
