rank_test_score,mean_test_score,std_test_score,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
1,0.9085607382117452,0.005699290946522757,0.15,3,500,1.0,0.9
2,0.9083663484372108,0.0058610721264691695,0.2,3,500,1.0,0.7
3,0.9070226111470214,0.005072901375289768,0.01,3,1000,0.0,1.0
4,0.9070071047955647,0.005743026488347613,0.05,3,500,0.3,1.0
5,0.906092914914645,0.004162948889499601,0.2,5,1000,1.0,0.1
6,0.9054403308297274,0.00460445458674119,0.2,5,500,0.7,0.9
7,0.9048085592591516,0.004835733662655191,0.3,5,1000,0.9,1.0
8,0.9042101915321024,0.005965652780815614,0.3,5,1000,0.9,0.1
9,0.9039232262143571,0.0035581561011732814,0.05,5,1000,0.3,0.7
10,0.9038328929600394,0.0024628785905542404,0.15,7,500,1.0,0.9
11,0.9036477353070974,0.0021120315575052662,0.05,5,2000,0.3,0.1
12,0.9031360435624972,0.0027959022851593075,0.1,10,2000,1.0,1.0
13,0.9027556621989571,0.002313675851716476,0.15,5,1000,0.3,1.0
14,0.9026015358193613,0.0008227980203087032,0.05,20,100,0.9,1.0
15,0.9022831783782896,0.0006258996965953386,0.2,7,2000,1.0,0.0
16,0.9018005292763195,0.0045680317716259985,0.5,3,2000,1.0,0.7
17,0.901705938309507,0.005526922447928327,0.5,5,100,0.9,1.0
18,0.9016774619300494,0.0026808839476355046,0.1,20,500,1.0,0.9
19,0.9016526891614728,0.0020796364289589245,0.2,10,1000,1.0,0.7
20,0.9013259786381441,0.0021206796016246766,0.3,5,1000,0.3,0.7
21,0.9012757109230065,0.0024620158767131597,0.15,3,1000,0.3,0.7
22,0.9011860317747022,0.0018933388754266986,0.1,7,2000,0.1,1.0
23,0.9011580380580169,0.001848076579147315,0.05,7,2000,0.3,0.3
24,0.9010476813711589,0.00046525890839561244,0.05,10,100,0.1,0.9
25,0.9007720898581251,0.002198662886843302,0.1,7,100,0.3,0.0
26,0.9007547479430821,0.0014367165670881666,0.2,20,100,0.9,1.0
27,0.9007297081178233,0.00280837952055702,0.2,7,500,0.7,0.0
28,0.9004236944430655,0.001488944371303065,0.15,7,500,0.0,0.9
29,0.9001662813605964,0.0017841578675186446,0.3,7,2000,0.9,0.3
30,0.9000574464793634,0.002099897827631093,0.15,15,500,0.7,0.9
31,0.8999772985144673,0.000992109539690998,0.1,20,100,0.3,0.7
32,0.8996839012928622,0.0009719196867374846,0.1,20,100,1.0,0.1
33,0.8991971432414744,0.0009410503502929073,0.2,7,2000,0.1,0.9
34,0.8990827815915836,0.001023136683370408,0.01,20,500,0.1,0.1
35,0.898971928272581,0.0013214647996746599,0.3,5,100,0.1,1.0
36,0.8989271565805734,0.0014167025398848922,0.2,20,2000,0.7,0.7
37,0.8988391482606456,0.0006776232370443192,0.2,15,2000,1.0,0.1
38,0.8986110250140918,0.000997867444547853,0.2,20,500,0.3,0.0
39,0.8985862576813939,0.0006992825004377697,0.2,20,500,0.9,0.1
40,0.8983315190593345,0.0023081493236555496,0.2,20,100,0.3,1.0
41,0.8979924014019328,0.001286026502805056,0.15,20,100,0.3,0.3
42,0.8979813669353552,0.0021347975049883427,0.05,5,2000,0.0,0.9
43,0.8975375695870205,0.005713130241512302,0.3,15,2000,1.0,0.7
44,0.897145950797504,0.0058592633392388176,0.5,10,100,0.3,0.9
45,0.8959097054492791,0.0012666489208584925,0.3,20,100,0.0,1.0
46,0.8945072992054598,0.003831263048155225,0.5,5,1000,0.1,0.1
47,0.8942886732976901,0.0030988287812124733,0.5,7,2000,0.1,0.0
48,0.8933094244809945,0.0030520529300511307,0.5,15,100,0.9,0.1
49,0.8895526170986835,0.005147129641390674,0.1,10,500,0.0,0.0
50,0.8894868916390514,0.0034214633120893552,0.3,3,500,0.0,0.3
