rank_test_score,mean_test_score,std_test_score,base_score,booster,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
1,0.9099152237500764,0.004874123158043649,0.1,dart,0.01,3,2000,1.0,0.7
2,0.9075955491701387,0.005448536646559133,0.3,dart,0.2,3,2000,0.9,0.7
3,0.907465073926218,0.005371703905436452,2.0,gbtree,0.15,3,2000,1.0,0.1
4,0.9073519108782804,0.003925380387579069,0.6,dart,0.01,5,500,0.1,0.1
5,0.906694479663956,0.0027932006829547874,1.0,dart,0.1,5,500,1.0,0.1
6,0.9066188548462966,0.0045321458588675175,2.0,dart,0.01,3,1000,0.0,0.1
7,0.9065370805849221,0.0038051253475352756,0.6,dart,0.1,5,1000,1.0,1.0
8,0.9065296774660485,0.004848230780682499,0.6,dart,0.1,3,1000,0.7,0.0
9,0.9064370763086087,0.004149907097390265,2.0,dart,0.05,5,1000,1.0,0.0
10,0.9063350434389649,0.005234567353604881,1.0,dart,0.2,3,1000,0.9,0.1
11,0.9061984676291583,0.004629853666063194,0.6,dart,0.15,3,2000,0.7,0.9
12,0.9056030626866494,0.0032942851453450993,1.0,dart,0.1,5,100,0.3,0.1
13,0.905457036086068,0.0028602642736248202,0.3,dart,0.2,5,500,0.7,0.7
14,0.9054301751910561,0.003310580546693779,0.3,gbtree,0.15,5,500,0.7,0.0
15,0.9049490514210867,0.0034785633125635654,0.6,dart,0.3,5,2000,0.7,0.1
16,0.9047952424727564,0.003939466569226445,2.0,dart,0.2,5,500,0.7,0.3
17,0.9045100080880415,0.002928918155524324,2.0,gbtree,0.1,5,100,0.1,0.3
18,0.9042771630752623,0.004234510397594041,2.0,dart,0.2,5,1000,0.7,0.9
19,0.9039152434764834,0.0028074452241391933,0.1,dart,0.1,5,1000,0.7,0.9
20,0.9037572574578115,0.0037402517298809573,3.0,dart,0.01,3,500,0.0,0.7
21,0.9036383702222631,0.003755224871510823,3.0,dart,0.01,3,500,0.3,1.0
22,0.9036242732892934,0.0020448674801023608,0.1,dart,0.1,5,100,0.0,0.3
23,0.9031725010411527,0.004689714702569072,1.0,dart,0.5,3,1000,0.9,0.0
24,0.9030931137540995,0.0019510859901091908,0.6,dart,0.01,7,2000,1.0,0.0
25,0.9029975835626254,0.0033503704584840824,3.0,gbtree,0.5,3,2000,0.9,0.9
26,0.9024595735527727,0.002312135165148282,3.0,gbtree,0.01,7,500,0.1,1.0
27,0.9021401090163925,0.0019299994814684423,3.0,gbtree,0.5,5,100,1.0,0.7
28,0.9020749277709208,0.0009079343176262405,0.1,dart,0.05,7,500,1.0,0.9
29,0.9018937517407992,0.001436339832696873,3.0,dart,0.2,3,500,0.3,0.0
30,0.9014673387201138,0.0016670676139000176,0.6,gbtree,0.1,10,1000,1.0,0.7
31,0.9014577290610413,0.00219796821836183,3.0,gbtree,0.05,7,100,0.1,0.3
32,0.901286600836159,0.000725994195830636,0.3,gbtree,0.05,15,1000,1.0,0.3
33,0.9010683687781987,0.00303284862989741,1.0,gbtree,0.5,5,500,0.9,0.7
34,0.9010529587728807,0.0010010323599707275,0.1,gbtree,0.1,7,2000,0.9,0.1
35,0.900973329373025,0.002589788439250306,0.6,dart,0.05,20,500,0.9,0.7
36,0.900961712218824,0.002842765556136198,0.3,dart,0.3,3,100,0.0,0.9
37,0.9009027892758712,0.0011954603335135277,1.0,dart,0.15,7,2000,0.3,0.1
38,0.90067713855394,0.0017208766343985965,0.1,dart,0.1,7,2000,0.9,0.7
39,0.9005767263047322,0.0012262718807886483,1.0,dart,0.1,10,500,1.0,0.7
40,0.900471503195509,0.0020752188658379415,0.6,gbtree,0.2,7,500,0.9,0.0
41,0.9004085530780905,0.002106567865157319,1.0,gbtree,0.3,5,2000,0.3,0.3
42,0.9002874726168882,0.004022948448629473,0.3,gbtree,0.01,20,500,0.9,0.0
43,0.900210254048116,0.001841618992522774,0.1,gbtree,0.15,3,1000,0.3,0.7
44,0.9001290726390092,0.002269238990823686,1.0,gbtree,0.15,3,1000,0.3,0.9
45,0.9000691120204224,0.00419464719968548,0.3,gbtree,0.5,5,500,1.0,0.1
46,0.9000489852525956,0.0007688753799208676,0.6,gbtree,0.2,3,2000,0.3,1.0
47,0.900048176621692,0.0014187215464698474,0.1,gbtree,0.3,5,500,0.9,0.3
48,0.9000255155927593,0.0021675503862861956,0.1,gbtree,0.1,10,1000,1.0,0.3
49,0.8999062602880061,0.002350392083415425,2.0,gbtree,0.01,7,2000,0.0,0.9
50,0.8998590828616644,0.0016199762354655958,0.1,dart,0.01,10,2000,1.0,0.1
51,0.8996822880657286,0.001999783562903131,0.3,dart,0.1,20,1000,0.0,0.9
52,0.8996526362529255,0.00196951760246233,0.6,dart,0.2,15,100,0.9,1.0
53,0.8996076809525382,0.0010711514738010331,1.0,dart,0.1,10,100,0.7,0.1
54,0.8994603801957336,0.0023562630633510995,0.6,dart,0.01,15,1000,0.7,1.0
55,0.8993489176090571,0.003130415390242908,1.0,dart,0.3,5,100,0.1,0.0
56,0.8993078559093794,0.0006726959580726295,0.6,gbtree,0.05,15,1000,0.9,0.1
57,0.8992945636172429,0.00314494558638742,1.0,gbtree,0.15,10,100,0.3,0.1
58,0.8992648697138649,0.0017367664201441719,0.1,gbtree,0.15,7,500,0.0,0.9
59,0.8991575551237538,0.00010438351763409273,0.1,dart,0.2,7,500,0.7,0.1
60,0.8990829117885647,0.0012214000937646402,2.0,gbtree,0.1,5,500,0.1,0.1
61,0.8990631310173698,0.0005991656723231092,0.6,gbtree,0.1,7,1000,0.1,0.9
62,0.8989212798621967,0.003086123074577216,2.0,gbtree,0.3,7,500,1.0,0.7
63,0.8988955698827978,0.0017846545478594701,2.0,gbtree,0.15,7,2000,0.0,1.0
64,0.8988408806939242,0.0029940015454534294,0.1,gbtree,0.01,20,500,0.3,0.1
65,0.8986794299521873,0.0017569046406223784,1.0,dart,0.15,15,500,0.9,1.0
66,0.898527396810102,0.0021120699962442835,1.0,dart,0.05,15,1000,0.3,0.3
67,0.8984084335096683,0.0011404569076904983,0.3,dart,0.01,20,2000,0.3,0.0
68,0.898301463927163,0.0008024853629940333,0.1,dart,0.2,10,2000,0.7,0.0
69,0.8982919302195126,0.00034232454743979193,0.1,gbtree,0.15,15,100,0.7,0.7
70,0.8982732690567011,0.0016523117455692717,1.0,gbtree,0.01,15,1000,1.0,0.0
71,0.8982613715580579,0.001498319635215573,0.1,dart,0.05,10,500,0.7,0.0
72,0.8982434035025024,0.0019028285995307322,0.6,gbtree,0.2,10,500,0.7,0.0
73,0.8981366055211788,0.0017048089812544455,1.0,dart,0.01,15,500,0.1,0.7
74,0.8981213794385907,0.0021890845384231173,0.1,gbtree,0.2,5,1000,0.1,0.7
75,0.8979779938616059,0.0026719659840829073,0.1,gbtree,0.15,15,1000,0.9,0.0
76,0.8978938528199429,0.000706091908996051,0.3,dart,0.05,20,1000,0.1,0.1
77,0.8977112217080054,0.002074446599415633,1.0,dart,0.05,15,100,1.0,0.1
78,0.8976834926519855,0.006196697512907252,2.0,gbtree,0.2,15,2000,0.7,0.7
79,0.8976765161267594,0.001359495902760366,1.0,dart,0.15,10,500,0.3,0.7
80,0.8975089609570122,0.0035183547805144023,2.0,gbtree,0.5,10,500,0.1,0.9
81,0.8973980448444816,0.0014868534780290285,0.1,dart,0.05,20,1000,0.1,0.1
82,0.8973861700265545,0.0031687328958393815,0.1,gbtree,0.15,15,500,0.9,0.9
83,0.8973056569912021,0.0006449797858990697,0.1,gbtree,0.2,20,500,0.1,0.1
84,0.8972147325413498,0.0013712922798566293,1.0,dart,0.01,15,1000,0.3,0.0
85,0.8971076116602497,0.0038532730712423696,0.1,dart,0.3,15,2000,1.0,0.7
86,0.8969915269339257,0.001105911125834091,1.0,dart,0.15,3,2000,0.1,1.0
87,0.8968687397620545,0.002509570018157912,0.1,dart,0.3,15,1000,1.0,1.0
88,0.896800839352646,0.001063008948483483,0.3,dart,0.2,5,1000,0.0,0.7
89,0.8967894858578969,0.001447622087881278,1.0,gbtree,0.3,7,100,0.3,0.1
90,0.8967528036796606,0.00665904167688594,2.0,gbtree,0.1,10,500,1.0,0.3
91,0.896524842740876,0.0011960809839064626,0.6,gbtree,0.15,20,2000,0.3,0.0
92,0.89643647744802,0.0016991346923933932,0.6,dart,0.3,20,100,1.0,0.7
93,0.8964182590054397,0.0012318805928224676,1.0,gbtree,0.5,7,1000,1.0,0.0
94,0.8963760350142133,0.004604441837996933,2.0,dart,0.01,20,500,0.1,0.1
95,0.8961644890183572,0.0036813578609586057,2.0,gbtree,0.2,10,500,0.3,0.7
96,0.8959160888321126,0.00274092787999272,0.1,dart,0.3,15,500,0.7,1.0
97,0.8956606454642414,0.006444412239987985,3.0,dart,0.05,10,100,0.3,0.9
98,0.8955656261966514,0.0039596874794748105,2.0,dart,0.01,20,1000,0.3,0.0
99,0.8955395602789008,0.005149992181353793,3.0,dart,0.3,10,1000,0.3,0.3
100,0.8955350998195767,0.0011245344224418698,2.0,gbtree,0.5,5,100,0.3,1.0
101,0.8947729745662897,0.008367153522064555,2.0,gbtree,0.3,15,2000,1.0,0.0
102,0.8946605753339886,0.007746044839687596,2.0,gbtree,0.15,15,2000,0.9,0.0
103,0.8946039188401862,0.004899353420380914,3.0,gbtree,0.05,15,2000,0.0,0.3
104,0.8945644368710879,0.0024993830710838927,1.0,gbtree,0.3,15,500,0.1,0.3
105,0.8944150586493754,0.002933030891951425,0.1,dart,0.2,3,1000,0.0,1.0
106,0.8943878965497885,0.0015630631956315092,1.0,gbtree,0.01,10,2000,0.0,0.1
107,0.8943697369643261,0.0024112186474020414,0.3,gbtree,0.2,3,1000,0.0,0.7
108,0.894025819930737,0.007637098907594242,2.0,gbtree,0.3,15,500,0.9,1.0
109,0.8940197944468992,0.004610358308364241,2.0,gbtree,0.2,20,100,0.3,0.1
110,0.8939350683852915,0.002358787011927182,0.1,gbtree,0.3,7,500,0.7,0.7
111,0.8937546726545565,0.0015025260147740807,2.0,gbtree,0.1,3,2000,0.0,0.7
112,0.8936462599575709,0.003020552709403481,0.6,dart,0.5,10,100,0.1,0.0
113,0.8934246155768166,0.003603252672486879,2.0,dart,0.3,15,500,0.3,0.0
114,0.8930870463727016,0.0035345830573784197,0.3,gbtree,0.5,20,100,0.7,0.3
115,0.8915114706407009,0.0019604258718505002,0.3,gbtree,0.2,3,1000,0.0,0.0
116,0.8912354616684945,0.007459827810215136,3.0,dart,0.3,15,100,0.3,0.9
117,0.8911733008274129,0.012270053210043843,3.0,gbtree,0.15,15,100,1.0,0.0
118,0.89038375908674,0.004263948877765569,0.6,gbtree,0.5,20,100,1.0,0.7
