rank_test_score,mean_test_score,std_test_score,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
1,0.9673530944966026,0.000537678497230007,0.05,3,500,0.3,1.0
2,0.9673367912184276,0.0006816354139763531,0.15,3,1000,0.3,0.7
3,0.966989093230877,0.0007667671225596408,0.05,5,2000,0.3,0.1
4,0.9669889284611543,0.0007331844842225434,0.05,5,1000,0.3,0.7
5,0.9666022236874484,0.0009463888584652981,0.15,5,1000,0.3,1.0
6,0.9663503476798087,0.001094664884651661,0.3,5,1000,0.3,0.7
7,0.9661451776500409,0.001466417326314707,0.05,7,2000,0.3,0.3
8,0.966094107134295,0.0018216855420704462,0.1,7,100,0.3,0.0
9,0.9660511759454402,0.0003874823396536014,0.15,3,500,1.0,0.9
10,0.9660133523191677,0.0011324578681945205,0.01,3,1000,0.0,1.0
11,0.9659496125215706,0.00034123355055902267,0.2,3,500,1.0,0.7
12,0.965429634067585,0.001990816841368073,0.1,20,100,0.3,0.7
13,0.965327953352711,0.0002281797043866068,0.5,3,2000,1.0,0.7
14,0.9652826704247404,0.0017065184855177113,0.2,5,500,0.7,0.9
15,0.9652766371166503,0.0012368676300307155,0.2,7,2000,0.1,0.9
16,0.9652564210523338,0.001959888953154566,0.3,5,1000,0.9,0.1
17,0.965220386305834,0.0018123113445907228,0.1,7,2000,0.1,1.0
18,0.9651940405203692,0.0009006629065059281,0.3,5,100,0.1,1.0
19,0.9651749069099098,0.0015211870808340094,0.2,5,1000,1.0,0.1
20,0.9651289791147897,0.0014415972770706147,0.3,5,1000,0.9,1.0
21,0.9649392288598099,0.0018742675411052043,0.05,10,100,0.1,0.9
22,0.9648946366524279,0.0025061517356911984,0.2,7,500,0.7,0.0
23,0.9647556728764864,0.001695328807876491,0.01,20,500,0.1,0.1
24,0.9647231744336557,0.0016405112901043308,0.2,20,100,0.3,1.0
25,0.964679918340979,0.0026106695571945417,0.2,20,500,0.3,0.0
26,0.9646071903271174,0.001965901833855449,0.15,20,100,0.3,0.3
27,0.9643708160352984,0.002106004385767281,0.2,7,2000,1.0,0.0
28,0.9639443298902047,0.0024680893598297256,0.2,20,500,0.9,0.1
29,0.9638550432286851,0.002669014556316978,0.2,15,2000,1.0,0.1
30,0.9638249431448855,0.002840149584226338,0.2,10,1000,1.0,0.7
31,0.9637819891732953,0.003506762903115982,0.15,15,500,0.7,0.9
32,0.9637359329554397,0.003298917054932719,0.1,10,2000,1.0,1.0
33,0.9636308570478072,0.0016480395407778646,0.5,10,100,0.3,0.9
34,0.9635550186818375,0.0035148814248837177,0.1,20,500,1.0,0.9
35,0.9633496905151651,0.0035956196017139057,0.2,20,2000,0.7,0.7
36,0.9631631073924124,0.002231924510659773,0.5,5,100,0.9,1.0
37,0.9630598826202307,0.003886414812739,0.1,20,100,1.0,0.1
38,0.9629400163138765,0.0029046203402476943,0.3,15,2000,1.0,0.7
39,0.962913514602371,0.0013023880648778984,0.3,20,100,0.0,1.0
40,0.9628750172868433,0.003925726746083643,0.15,7,500,1.0,0.9
41,0.9627642559598442,0.0009697667665031979,0.5,7,2000,0.1,0.0
42,0.9627311850111103,0.0009465620619202665,0.5,5,1000,0.1,0.1
43,0.9623337221585797,0.002014185004786274,0.1,10,500,0.0,0.0
44,0.9621320246412023,0.004051337067213277,0.05,20,100,0.9,1.0
45,0.9621265850258953,0.0038876576012369557,0.3,7,2000,0.9,0.3
46,0.9618554378432072,0.0025324392978234665,0.15,7,500,0.0,0.9
47,0.9616535582635785,0.002433995032683323,0.05,5,2000,0.0,0.9
48,0.961393995898361,0.004767643221666787,0.2,20,100,0.9,1.0
49,0.9586996724253082,0.004673873611702614,0.3,3,500,0.0,0.3
50,0.9584388074600385,0.006820726782080722,0.5,15,100,0.9,0.1
