rank_test_score,mean_test_score,std_test_score,base_score,booster,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
1,0.9675263601590619,0.0007642760881260617,0.1,gbtree,0.15,3,1000,0.3,0.7
2,0.9674645057893785,0.0005068143038288502,1.0,gbtree,0.15,3,1000,0.3,0.9
3,0.9672403021579175,0.000620865555083162,0.6,gbtree,0.2,3,2000,0.3,1.0
4,0.9670633823630236,0.0005933729496578023,0.6,dart,0.1,3,1000,0.7,0.0
5,0.967036948734589,0.0006781714276103068,3.0,dart,0.2,3,500,0.3,0.0
6,0.9669468708064595,0.0012965448628400656,0.6,dart,0.01,5,500,0.1,0.1
7,0.9667952784566068,0.0008964379248788731,1.0,dart,0.1,5,100,0.3,0.1
8,0.9667487622411994,0.0005762964827012046,0.6,dart,0.15,3,2000,0.7,0.9
9,0.9667205132579803,0.000798927626269489,0.3,gbtree,0.15,5,500,0.7,0.0
10,0.9667094759357284,0.000958275951465267,2.0,gbtree,0.1,5,100,0.1,0.3
11,0.9665069326538794,0.0012283067936823726,0.3,dart,0.2,5,500,0.7,0.7
12,0.966312452961959,0.0003997073820798952,0.3,dart,0.2,3,2000,0.9,0.7
13,0.9662852933371285,0.0006920423704044082,2.0,dart,0.2,5,1000,0.7,0.9
14,0.9661273255046088,0.000869022375403264,2.0,gbtree,0.1,5,500,0.1,0.1
15,0.966090060559708,0.0010953379465600743,2.0,dart,0.01,3,1000,0.0,0.1
16,0.966045823345663,0.0013091534382639353,2.0,dart,0.01,20,1000,0.3,0.0
17,0.9660192179347598,0.0002523261744819734,1.0,dart,0.2,3,1000,0.9,0.1
18,0.9659392154211116,0.0004980436024413029,0.1,dart,0.01,3,2000,1.0,0.7
19,0.9659353402195785,0.0008382051494893901,1.0,gbtree,0.3,5,2000,0.3,0.3
20,0.9658484399921548,0.0011868862765378352,0.6,dart,0.1,5,1000,1.0,1.0
21,0.9658105168177273,0.0011027175277794749,2.0,dart,0.2,5,500,0.7,0.3
22,0.9657824718590267,0.0011698003775300304,0.6,dart,0.3,5,2000,0.7,0.1
23,0.9657613820662487,0.0009480986555494472,1.0,dart,0.15,10,500,0.3,0.7
24,0.9657528816880617,0.0013506548577032586,1.0,dart,0.05,15,1000,0.3,0.3
25,0.9657154344787341,0.0015876508762203076,1.0,dart,0.15,7,2000,0.3,0.1
26,0.9656496209658584,0.0010323910852190826,2.0,gbtree,0.15,3,2000,1.0,0.1
27,0.9655553586672473,0.0016264107004140495,1.0,dart,0.01,15,1000,0.3,0.0
28,0.9655070185075376,0.0012976016307506924,0.6,gbtree,0.15,20,2000,0.3,0.0
29,0.9654123809863356,0.0012142703055193528,0.6,gbtree,0.1,7,1000,0.1,0.9
30,0.965385477227115,0.0005875138280283263,0.3,gbtree,0.5,5,500,1.0,0.1
31,0.9653219436249375,0.0011651593692796908,1.0,dart,0.3,5,100,0.1,0.0
32,0.9653109615993206,0.001345710492304438,1.0,dart,0.15,3,2000,0.1,1.0
33,0.9651235574337909,0.0019377980181619705,1.0,gbtree,0.15,10,100,0.3,0.1
34,0.9650957829181166,0.0008583670857799134,2.0,gbtree,0.5,5,100,0.3,1.0
35,0.965058676693609,0.0017586164684521963,2.0,dart,0.05,5,1000,1.0,0.0
36,0.9649796667636448,0.0016809231043247894,1.0,dart,0.01,15,500,0.1,0.7
37,0.9649047433841037,0.0023222269799863422,0.1,dart,0.1,5,1000,0.7,0.9
38,0.9648114169832248,0.0019880329194780916,0.1,gbtree,0.2,5,1000,0.1,0.7
39,0.9647896731956597,0.002584387594633535,0.1,dart,0.1,5,100,0.0,0.3
40,0.9647871012142216,0.0006681759757323717,1.0,dart,0.5,3,1000,0.9,0.0
41,0.964668028245568,0.002152719768644336,0.6,dart,0.01,7,2000,1.0,0.0
42,0.96455528445612,0.0011941194205916305,1.0,gbtree,0.5,5,500,0.9,0.7
43,0.9645386972938661,0.0016899092305125997,2.0,dart,0.3,15,500,0.3,0.0
44,0.9645371315021252,0.0011723460829296181,1.0,gbtree,0.5,7,1000,1.0,0.0
45,0.9645207485966509,0.0024590614892731795,0.6,gbtree,0.2,10,500,0.7,0.0
46,0.9645077518298867,0.0010224804004386914,1.0,gbtree,0.3,15,500,0.1,0.3
47,0.9644940377598884,0.0020654003938683587,2.0,gbtree,0.15,15,2000,0.9,0.0
48,0.9644775001340088,0.002177388185435205,1.0,dart,0.1,5,500,1.0,0.1
49,0.964397757595539,0.0021155239391877035,0.6,gbtree,0.2,7,500,0.9,0.0
50,0.964333278604534,0.0024389931819385367,0.3,dart,0.01,20,2000,0.3,0.0
51,0.9642777147531632,0.0020513709055195142,3.0,dart,0.3,15,500,0.7,0.9
52,0.9642455121708793,0.0029085839896657024,0.6,gbtree,0.05,15,1000,0.9,0.1
53,0.9642297840120531,0.0014405834927227162,3.0,gbtree,0.05,15,2000,0.0,0.3
54,0.9641534314162383,0.002866014485445725,0.6,dart,0.01,15,1000,0.7,1.0
55,0.9641032408389588,0.0027858232729647088,1.0,gbtree,0.3,7,100,0.3,0.1
56,0.9640756415294612,0.0024275693899269337,0.6,gbtree,0.1,10,1000,1.0,0.7
57,0.9640645725095071,0.002075121622604203,2.0,gbtree,0.2,20,100,0.3,0.1
58,0.9640281941246661,0.002507349105071873,2.0,gbtree,0.3,7,500,1.0,0.7
59,0.9640130445437787,0.0031250969913631933,1.0,dart,0.1,10,100,0.7,0.1
60,0.9639636399155578,0.0028139511287626467,0.6,dart,0.05,20,500,0.9,0.7
61,0.9639152638196872,0.0024397284954347067,2.0,gbtree,0.2,10,500,0.3,0.7
62,0.963795216646194,0.002125442163301376,3.0,dart,0.3,10,1000,0.3,0.3
63,0.9637903187837575,0.002793722922671348,2.0,gbtree,0.1,10,500,1.0,0.3
64,0.9637745405983975,0.002276614547477603,0.3,dart,0.3,3,100,0.0,0.9
65,0.9637535262824457,0.0017916845622602852,3.0,gbtree,0.5,5,100,1.0,0.7
66,0.9637316634141446,0.002752634265341943,3.0,dart,0.15,10,2000,0.9,1.0
67,0.9637039382834212,0.002362988094179136,2.0,gbtree,0.01,7,2000,0.0,0.9
68,0.9636490550330905,0.0017376760179648723,3.0,dart,0.3,15,100,0.3,0.9
69,0.9635845706788321,0.0027379419000217015,3.0,gbtree,0.15,15,100,1.0,0.0
70,0.9635371083402078,0.004458765825805182,3.0,gbtree,0.15,15,100,0.7,0.9
71,0.9635121710317761,0.0025815373602058964,0.3,dart,0.05,20,1000,0.1,0.1
72,0.963417876569553,0.0024050444633862767,2.0,gbtree,0.3,15,2000,1.0,0.0
73,0.9633486181850442,0.0011539536056841234,2.0,gbtree,0.5,10,500,0.1,0.9
74,0.9632587313590284,0.001721143688217189,2.0,dart,0.01,20,500,0.1,0.1
75,0.9632343851304344,0.0024970555123680796,0.6,dart,0.2,15,100,0.9,1.0
76,0.9631991925995105,0.002670095670434597,2.0,gbtree,0.3,15,500,0.9,1.0
77,0.9631417646393402,0.002528498103098751,1.0,gbtree,0.01,10,2000,0.0,0.1
78,0.962994360069795,0.0040558219102497205,1.0,dart,0.1,10,500,1.0,0.7
79,0.9628309123596256,0.0008827127574288134,0.6,dart,0.5,15,500,0.1,0.7
80,0.9627361495640103,0.00393510792412334,0.3,gbtree,0.05,15,1000,1.0,0.3
81,0.9627273208510502,0.004022768715578649,1.0,gbtree,0.01,15,1000,1.0,0.0
82,0.9626943876928029,0.003967546001600071,1.0,dart,0.15,15,500,0.9,1.0
83,0.9626057181833046,0.0041253793481976645,3.0,gbtree,0.5,3,2000,0.9,0.9
84,0.9626028239079887,0.0011126365980190607,0.6,dart,0.5,20,500,0.1,0.1
85,0.962531730103975,0.0010500659811837492,3.0,gbtree,0.05,7,100,0.1,0.3
86,0.9624985729766323,0.003972560695294918,2.0,gbtree,0.2,15,2000,0.7,0.7
87,0.9624915096408699,0.0021096420591997806,2.0,gbtree,0.15,7,2000,0.0,1.0
88,0.962432045084887,0.0017178392035382079,0.6,gbtree,0.5,20,100,1.0,0.7
89,0.9622145716090226,0.0036119141987556312,0.6,dart,0.3,20,100,1.0,0.7
90,0.9621971626033066,0.002697871499901184,0.1,gbtree,0.15,7,500,0.0,0.9
91,0.9621346199492797,0.003023529187397469,0.1,gbtree,0.3,5,500,0.9,0.3
92,0.9620788232935225,0.002693896399807441,1.0,gbtree,0.3,20,500,0.0,0.1
93,0.9620589129222791,0.0024001140739338244,0.6,dart,0.5,10,100,0.1,0.0
94,0.961993376147091,0.0027334810572880366,0.3,dart,0.5,15,500,1.0,0.1
95,0.9618554589995514,0.0026366413129061475,0.3,dart,0.2,5,1000,0.0,0.7
96,0.9618479241968525,0.004322317621937313,2.0,gbtree,0.3,15,1000,1.0,0.3
97,0.9618271324142142,0.004017157245188181,0.3,gbtree,0.01,20,500,0.9,0.0
98,0.961364446103111,0.003108992752237783,0.3,gbtree,0.5,20,100,0.7,0.3
99,0.9613076220017909,0.001011434606039547,3.0,gbtree,0.01,7,500,0.1,1.0
100,0.9607701337511042,0.00016560622365505642,3.0,dart,0.01,3,500,0.0,0.7
101,0.9605904213017772,0.0036368700169407955,0.3,dart,0.1,20,1000,0.0,0.9
102,0.9601922951105445,0.005542590486338729,0.1,dart,0.1,7,2000,0.9,0.7
103,0.9601451064859315,0.0053395042463399165,0.1,dart,0.2,7,500,0.7,0.1
104,0.9600010856529059,0.003399355463669758,2.0,gbtree,0.1,3,2000,0.0,0.7
105,0.9599261758442678,0.004574380591428806,0.1,dart,0.05,20,1000,0.1,0.1
106,0.9598378564195245,0.001574387883190572,3.0,dart,0.05,10,100,0.3,0.9
107,0.9595452113514098,0.0038349995077721455,1.0,dart,0.05,15,100,1.0,0.1
108,0.9594851121852829,0.005776632371178232,0.1,dart,0.05,7,500,1.0,0.9
109,0.9592759571769326,0.006098244938214433,0.1,gbtree,0.1,7,2000,0.9,0.1
110,0.9592319141804014,0.0058204207643530945,0.1,gbtree,0.3,7,500,0.7,0.7
111,0.95908732970377,0.004844067001744957,0.3,gbtree,0.2,3,1000,0.0,0.7
112,0.9590421220865879,0.004213799497204337,0.1,dart,0.2,3,1000,0.0,1.0
113,0.9589636394597477,0.00034575294335940286,3.0,dart,0.01,3,500,0.3,1.0
114,0.958948704910235,0.00624108787624418,0.1,gbtree,0.01,20,500,0.3,0.1
115,0.958890286742085,0.003050158986732314,1.0,gbtree,0.2,15,100,0.0,0.0
116,0.9587512407825316,0.006421591947590351,0.1,dart,0.05,10,500,0.7,0.0
117,0.9584731545539751,0.005354193061212285,0.1,gbtree,0.2,20,500,0.1,0.1
118,0.9584272134520228,0.0036684806309017037,0.3,gbtree,0.2,3,1000,0.0,0.0
119,0.9574668340861044,0.006920096457558076,0.1,gbtree,0.15,15,100,0.7,0.7
120,0.9574263577755026,0.007322140440412301,0.1,dart,0.2,10,2000,0.7,0.0
121,0.9570930777345847,0.0072497114469331275,0.1,gbtree,0.1,10,1000,1.0,0.3
122,0.9570869697513514,0.007207690929848213,0.1,gbtree,0.15,15,1000,0.9,0.0
123,0.956524170109657,0.00777180614101289,0.1,dart,0.01,10,2000,1.0,0.1
124,0.9564802205443638,0.00790431217036814,0.1,gbtree,0.15,15,500,0.9,0.9
125,0.9554323241438692,0.007680542709295394,0.1,dart,0.3,15,500,0.7,1.0
126,0.9548642888169595,0.0029265798332617945,3.0,dart,0.05,10,100,1.0,1.0
127,0.9546950335102035,0.008921973464568597,0.1,dart,0.3,15,2000,1.0,0.7
128,0.9545685960698843,0.008820272271613796,0.1,dart,0.3,15,1000,1.0,1.0
129,0.9477385436259606,0.0027843437917188254,0.1,gbtree,0.01,10,100,0.0,0.0
130,0.9352513269395674,0.002019794795098151,2.0,gblinear,0.5,5,1000,1.0,0.1
131,0.9352198668358854,0.0019760422117033214,2.0,gblinear,0.3,15,2000,0.1,0.0
132,0.9352193550103508,0.001963163022834807,1.0,gblinear,0.3,10,2000,0.3,1.0
133,0.9352124159562064,0.0020530732915367694,2.0,gblinear,0.2,20,2000,0.1,0.3
134,0.935212192939606,0.0019449677515078565,0.3,gblinear,0.5,10,2000,0.3,1.0
135,0.9352102405117232,0.0019581840913754324,0.3,gblinear,0.5,10,2000,0.7,1.0
136,0.9352016160729751,0.0019527222995358317,0.1,gblinear,0.5,3,2000,0.7,0.0
137,0.9352012180264452,0.0019757422095245713,2.0,gblinear,0.5,7,1000,0.1,0.9
138,0.9351987725878307,0.002016063698648544,1.0,gblinear,0.5,10,500,0.7,0.7
139,0.9351928262967258,0.0020106211393114914,0.6,gblinear,0.5,20,500,0.9,0.3
140,0.9351851871624005,0.001976947261573797,0.1,gblinear,0.3,10,1000,0.7,0.9
141,0.9351851744226394,0.002028667772198953,2.0,gblinear,0.5,5,500,0.9,0.7
142,0.9351847135823909,0.0020031792996587625,1.0,gblinear,0.3,7,1000,0.1,0.1
143,0.9351840320640116,0.0019832650809462407,0.3,gblinear,0.3,20,1000,0.3,0.3
144,0.9351838481970653,0.0019310831759750356,0.1,gblinear,0.3,5,2000,0.0,0.1
145,0.9351773330399772,0.0020433107002459433,1.0,gblinear,0.1,15,2000,0.7,0.3
146,0.9351691636991765,0.0019949252661032014,0.1,gblinear,0.5,15,500,0.1,0.0
147,0.9351619759130504,0.002009004835142944,1.0,gblinear,0.5,7,500,0.1,0.3
148,0.935159255307159,0.0019758705876343104,0.1,gblinear,0.1,15,2000,1.0,0.3
149,0.9351536144082953,0.002087702219694446,3.0,gblinear,0.2,7,1000,0.7,1.0
150,0.9351518246253138,0.0020008573016913247,0.3,gblinear,0.3,5,500,0.9,1.0
151,0.9351494334251731,0.002083812741445386,2.0,gblinear,0.2,3,1000,1.0,0.0
152,0.9351406026659659,0.0020257041273117433,0.6,gblinear,0.15,7,1000,0.1,0.3
153,0.9351397057049519,0.0020200697395338432,3.0,gblinear,0.5,20,100,1.0,0.9
154,0.9351315658552021,0.0020272545326403013,0.6,gblinear,0.2,20,500,0.7,0.0
155,0.9351258849878087,0.002092470449736936,2.0,gblinear,0.1,20,2000,0.3,0.1
156,0.9351234744428746,0.0021422206334325957,3.0,gblinear,0.3,7,100,0.0,0.7
157,0.9351217688643582,0.002121462676658348,2.0,gblinear,0.1,3,2000,0.9,0.0
158,0.9351046599287333,0.0020257579922391845,0.6,gblinear,0.15,3,500,1.0,0.3
159,0.935101185751195,0.00207275803007207,1.0,gblinear,0.1,15,1000,0.9,0.0
160,0.9350729851550373,0.002066361668308324,0.6,gblinear,0.15,7,500,0.3,0.3
161,0.9350705106363538,0.0019814153348465054,0.3,gblinear,0.5,7,100,0.1,0.0
162,0.9350618557419682,0.001999637517824962,0.6,gblinear,0.05,15,1000,0.7,0.7
163,0.935026193452094,0.002027241810602806,1.0,gblinear,0.05,5,1000,0.7,0.7
164,0.9349492455679979,0.0018839542474290477,0.3,gblinear,0.3,7,100,0.0,0.0
165,0.9348849597437364,0.00187717876203005,0.1,gblinear,0.3,3,100,0.7,0.3
166,0.9348320297064306,0.0023915936269318216,2.0,gblinear,0.1,3,1000,1.0,0.9
167,0.9347712806486648,0.002217926785213965,3.0,gblinear,0.05,10,2000,1.0,0.9
168,0.9347675802264755,0.0022162563138671374,2.0,gblinear,0.15,10,500,0.3,0.3
169,0.9347575182860084,0.0020084776774206003,2.0,gblinear,0.05,7,500,0.0,1.0
170,0.9347025546384153,0.0017330282813795075,0.3,gblinear,0.2,7,100,0.7,1.0
171,0.9346426814258929,0.001711670778509315,0.6,gblinear,0.2,20,100,1.0,0.9
172,0.9346136673363399,0.0018785011319888145,2.0,gblinear,0.01,10,2000,0.1,1.0
173,0.9345656851624913,0.001897850014036561,2.0,gblinear,0.01,5,2000,0.3,1.0
174,0.934430504664848,0.0018755898803323305,2.0,gblinear,0.01,7,2000,1.0,0.7
175,0.9336928626098594,0.001483076277748433,0.3,gblinear,0.1,5,100,0.0,1.0
176,0.9335853853246956,0.0015127374053073442,1.0,gblinear,0.01,20,1000,0.0,0.1
177,0.933580305010502,0.0014504638172697269,0.3,gblinear,0.01,15,1000,0.1,0.0
178,0.933532570819213,0.0013643266246233835,0.1,gblinear,0.1,5,100,0.9,0.9
179,0.9335185117114408,0.0013907363623317998,0.3,gblinear,0.01,10,1000,0.9,0.7
180,0.9334929149665399,0.0014006627028949144,0.6,gblinear,0.01,15,1000,1.0,0.0
181,0.9334832039993569,0.0014037480048609279,0.6,gblinear,0.01,3,1000,1.0,0.3
182,0.9334657572514277,0.0013807417615808476,0.1,gblinear,0.01,20,1000,0.7,1.0
183,0.9325409146419541,0.0020948559038447903,1.0,gblinear,0.1,20,100,0.9,0.9
184,0.9324473990573129,0.004144070500073931,3.0,gblinear,0.3,5,100,0.7,0.9
185,0.9319184332902277,0.0011319125729902391,0.1,gblinear,0.05,10,100,0.3,0.0
186,0.9317593080151314,0.0010331671326697443,0.1,gblinear,0.05,10,100,0.9,0.7
187,0.9317577212624656,0.0010818714248999092,0.3,gblinear,0.01,20,500,0.7,0.9
188,0.9317430187439167,0.0010528021280248206,0.1,gblinear,0.05,15,100,1.0,0.3
189,0.9317291793148816,0.0010130500160164745,0.1,gblinear,0.05,5,100,1.0,0.1
190,0.931155672155488,0.0014284272215461767,1.0,gblinear,0.05,5,100,0.9,0.7
191,0.9294526894379803,0.0005896538122910174,3.0,gblinear,0.05,20,100,0.9,1.0
192,0.92582694143795,0.000597389130206292,0.1,gblinear,0.01,7,100,0.0,0.1
193,0.9248141870877762,0.012156578003841725,3.0,gblinear,0.15,7,100,0.0,0.0
194,0.924272755245056,0.0026251435989488956,2.0,gblinear,0.05,15,100,1.0,0.9
195,0.9197367899143417,0.011387731231429336,3.0,gblinear,0.05,10,100,0.3,0.1
196,0.8655084928051882,0.001432118837511669,0.6,gbtree,0.01,20,100,0.1,0.9
197,0.7637919852828852,0.0018335047892428494,1.0,gbtree,0.01,15,100,0.7,0.1
198,0.7628454338667412,0.0019914024004509282,1.0,dart,0.01,7,100,0.9,0.3
199,0.7623651197591292,0.0019319381969271773,1.0,gbtree,0.01,5,100,0.9,1.0
200,0.36615689441780613,0.0020046326575364525,3.0,gbtree,0.01,3,100,0.7,1.0
